Revenue,Gross Profit,Operating Income,Pretax Income,Diluted EPS,EBITDA,ROA,ROE,Total Current Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Total Noncurrent Liabilities,Total Liabilities,Total Equity,Cash from Operations,Cash from Investing Activities,Cash from Financing Activities,Date,Company,Revenue target,Operating Income target,Revenue target change,Operating Income target change
61.863,25.009,-32.289,-33.64,0.0,-2.23,0.0169810585170112,0.0329865643757768,48.11,576.545976,624.656,85.854,253.3,339.154,285.502016,38.239,-79.88,38.765,2011-12-31,AMPY,48.41,2.342,-13.453000000000003,34.631
48.41,13.781999999999998,2.342,0.659,-0.0868310034275055,30.369,0.0,0.0,42.309,646.299976,688.609024,147.718,272.896,420.614,267.995008,34.316,-72.466,40.0,2012-03-31,AMPY,49.259,4.064,0.8490000000000038,1.722
49.259,15.291999999999998,4.064,3.217,-2.419250011444092,31.946,0.0,0.0,55.14,736.095032,791.235008,90.467,330.628992,421.095992,370.139024,25.647,-111.779,88.627,2012-06-30,AMPY,55.498,3.674,6.238999999999997,-0.3900000000000001
55.498,18.072000000000003,3.674,2.846,0.0480489991605281,34.366,0.0,0.0,36.274,820.011008,856.284992,113.239,389.980992,503.219992,353.065008,34.717,-100.63,58.898,2012-09-30,AMPY,89.839,20.68,34.341,17.006
89.839,39.076,20.68,11.284,0.0900610014796257,59.64,-0.1242760563842569,-0.3231520256429476,89.472,1594.538,1684.009984,135.427008,905.001984,1040.428992,643.580992,42.569,-488.732992,460.368,2012-12-31,AMPY,86.142,13.06,-3.6970000000000027,-7.619999999999999
86.142,30.041,13.06,2.198,-0.0340979993343353,55.036,-0.1083515172413124,-0.3096956994956198,135.283008,1684.20096,1819.484032,168.818,1013.540992,1182.358992,637.124992,62.203,-132.538,102.082,2013-03-31,AMPY,102.516,9.947,16.37400000000001,-3.1130000000000013
102.516,31.797999999999995,9.947,-6.669,-0.1047760024666786,62.777,0.0039898376224557,-0.0003823717385173,127.598,2438.246064,2565.843968,182.304992,1741.46496,1923.769952,642.073984,10.637,-748.793984,699.817024,2013-06-30,AMPY,146.874,24.692,44.35799999999999,14.745000000000001
146.874,49.88,24.692,-1.251,-0.0488060005009174,99.481,0.0015398138843255,-0.0193264859823488,165.668,2538.80204,2704.470016,261.844,1787.91104,2049.75504,654.715008,107.101,-177.936992,83.504,2013-09-30,AMPY,160.672992,36.704,13.798991999999998,12.012
160.672992,59.240992,36.704,7.02,-0.4187020063400268,117.505,-0.0120747612754839,0.0,192.596992,2149.509952,2342.10688,253.754,1748.354048,2002.108048,339.999008,47.161,-134.576992,95.626,2013-12-31,AMPY,152.524992,42.784,-8.147999999999996,6.079999999999998
152.524992,64.999992,42.784,8.847,-0.376554012298584,109.685,-0.0233993963357384,0.0,191.959008,2138.05296,2330.011904,330.008992,1742.23296,2072.241952,257.770016,105.409,-122.78,-1.144,2014-03-31,AMPY,162.319008,49.077,9.794016,6.292999999999999
162.319008,71.092008,49.077,15.273,0.06632100045681,120.151,-0.014499946960862,0.0,189.767008,2053.516952,2243.283968,289.401984,1696.299008,1985.700992,257.582976,68.152,-5.248,-47.892,2014-06-30,AMPY,166.518,56.431,4.198992000000004,7.353999999999999
166.518,76.038,56.431,22.153,0.1565160006284713,129.54,0.0020078287485686,0.0,174.851008,2105.118016,2279.969024,249.087008,1696.605056,1945.692064,334.277024,135.02,-153.319008,14.356,2014-09-30,AMPY,155.3,50.728,-11.21799999999999,-5.702999999999996
155.3,73.293,50.728,15.238,0.0456660017371177,109.579,0.0320509651898971,0.0,273.124992,2174.050032,2447.174912,251.476,1729.837056,1981.313056,465.861984,42.963,-122.917,65.794,2014-12-31,AMPY,142.434,39.902,-12.866000000000014,-10.826
