Revenue,Gross Profit,Operating Income,Pretax Income,Diluted EPS,EBITDA,ROA,ROE,Total Current Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Total Noncurrent Liabilities,Total Liabilities,Total Equity,Cash from Operations,Cash from Investing Activities,Cash from Financing Activities,Date,Company,Revenue target,Operating Income target
72.959,24.365,-0.696,-6.076,-0.1140730008482933,16.333,0.0004902179519771213,-0.0014097405138575035,76.915,837.713984,914.628992,59.762,374.822016,434.584016,480.044984,0.57,66.005,-102.327,2019-09-30,AMPY,77.929,8.399
77.929,24.554999999999996,8.399,4.683,-0.05178900063037872,24.546,0.0002588221270748561,0.0005215541159811478,52.587,824.952024,877.539008,61.088,382.244,443.332,434.207016,21.395,-11.596,-17.207,2019-12-31,AMPY,58.136,1.122
58.136,5.343999999999998,1.122,-6.323,-2.184515953063965,16.678,-0.18332682446809045,-0.37008591137787156,116.381,390.743984,507.124992,55.658,389.371008,445.029008,62.096,13.089,-12.72,1.2,2020-03-31,AMPY,35.171,-15.407
35.171,-1.8190000000000015,-15.407,-21.866,-0.6921629905700684,-7.784,-0.22984188078293918,-0.49665097113703044,84.773,368.91,453.683008,66.794,365.633984,432.427984,21.255008,33.725,-14.122,-4.47,2020-06-30,AMPY,52.745,-42.449
52.745,15.590999999999998,-42.449,-45.975,-1.0640009641647339,-34.499,-0.22468330351459462,-0.6202463594397255,62.502,359.192,421.694016,51.387,366.271008,417.658008,4.036,16.784,-5.22,-15.07,2020-09-30,AMPY,56.092,-19.447
56.092,18.435,-19.447,-23.651,-0.7083100080490112,-10.308,-0.13363087152313166,0,56.837,327.921984,384.759008,56.862,361.633984,418.495984,-33.736992,10.732,-3.828,-10.061,2020-12-31,AMPY,72.469,7.786
72.469,34.601,7.786,4.654,-0.010071000084280968,15.133,-0.20714280602042942,0,64.522,327.036016,391.558016,82.249,362.583008,444.832008,-53.274016,15.558,-4.116,-5.005,2021-03-31,AMPY,80.393,26.557
3921.999872,2085.999872,1974,1928.999936,2.865164041519165,2910.000128,0.09361798635659142,0.16780318636578626,4000.999936,40865.000704,44865.998848,3956.999936,15710.999552,19667.999488,25198.000384,1979.000064,-1748.999936,-8,2011-03-31,APA,4386.999808,2227.000064
4386.999808,2329.999872,2227.000064,2185.999872,3.2577829360961914,3256,0.10227723703719,0.17931726220406158,4899.999744,41628.999168,46528.999424,4483.999744,15377.999872,19861.999616,26667.000064,2744.999936,-1628,-366,2011-06-30,APA,4302.000128,2108.999936
4302.000128,2221.000192,2108.999936,2072,2.46274995803833,3174.000128,0.09890375222092203,0.17294261607560885,4576,42906.001024,47481.99936,4024,15555.00032,19579.00032,27903.000832,2447.000064,-2248.999936,-719,2011-09-30,APA,4288,2035.000064
4288,2167.000064,2035.000064,2000,3.1253750324249268,3208.999936,0.09770308514043437,0.180224278843345,4802.999808,47247.999488,52051.001344,4962.999808,18094.999552,23057.99936,28993.000704,2782.000128,-3019.000064,-54,2011-12-31,APA,4496,2087.000064
4496,2215.000064,2087.000064,2047.000064,2.9197990894317627,3827.000064,0.09565660809287256,0.17598886692064017,4953.999872,48283.001344,53236.998144,4697.999872,18823.999488,23521.99936,29714.999552,2007.000064,-2641.999872,585,2012-03-31,APA,3892.999936,1440.999936
3892.999936,1572.999936,1440.999936,1396,1.9847439527511597,3372.999936,0.08083010457382724,0.15001639237673559,4639.000064,52577.999104,57216.999424,5120.999936,21422.999552,26543.999488,30673.000704,2792,-4944,2268,2012-06-30,APA,4095.000064,1556.999936
4095.000064,1680.999936,1556.999936,1516.999936,1.6527479887008667,3585.999872,0.07289730144609703,0.1352563020176189,5043.999744,53766.000128,58809.99936,5390.000128,22705.999872,28096,30714.00064,1623.000064,-2974.000128,1308,2012-09-30,APA,4405.000192,1804
4405.000192,1872.000256,1804,1764,1.814447045326233,3184,0.061779621524925096,0.11778123145526216,4961.999872,55774.998016,60736.999424,5536,23869.999104,29405.999104,31331.000576,2082,-2864,624,2012-12-31,APA,4103.000064,1592
4103.000064,1704,1592,1536.999936,1.9859800338745117,2961.999872,0.05235288455909593,0.0990767615446935,4848,56943.998464,61792.002048,5561.999872,24242.999296,29804.999168,31987.000576,2620.999936,-2592,59,2013-03-31,APA,4036.999936,1468.999936
4036.999936,1595.000064,1468.999936,1416.999936,2.157646894454956,2696,0.05138055972279273,0.09915982892377886,4758.000128,58592.000768,63350.001664,5158.000128,25471.000576,30629.000704,32720.99968,2759.000064,-2772,-51,2013-06-30,APA,4228.999936,1648
4228.999936,1766.999808,1648,1598,2.603666067123413,2904,0.058446522554492834,0.10936799506956169,6016,54223.000576,60238.999552,4522.999808,22734.999552,27257.99936,32981.000192,1978,1030,-1940.999936,2013-09-30,APA,3660,1246
3660,1372.9999359999997,1246,1227.000064,0.9636660218238831,1914,0.044878811800525935,0.08510236589313064,6366.000128,55271.001088,61637.001216,4700.000256,21543.999488,26243.999744,35392.99968,2476.999936,-2782.000128,960,2013-12-31,APA,3599.000064,1382
3599.000064,1501.000064,1382,1355.000064,1.7787879705429077,2588,0.049189263361836454,0.09391936211033883,5463.000064,55657.998848,61120.999424,4355.999744,21588.000768,25944.000512,35177.000448,2292.999936,-1948.999936,-607,2014-03-31,APA,3288.999936,1195.000064
3288.999936,1292.9999360000002,1195.000064,1192,1.4961040019989014,2447.000064,0.04365528672345167,0.0844215488466847,5126.000128,56045.001728,61170.999296,4569.999872,21709.000704,26279.000576,34891.999232,2339.000064,-2542.000128,-916,2014-06-30,APA,3440.999936,1366
3440.999936,1449.999872,1366,992,1.2782150506973267,2640.999936,0.03555254910104847,0.06755591773658555,4425.999872,56563.999744,60990.001152,4306.999808,23697.000448,28004.000256,32985.999872,1896,-2449.999872,540,2014-09-30,APA,2683.000064,720
2683.000064,646.0001279999999,720,901,0.8816710114479065,1512.999936,0.003728239880296439,0.00738880565869729,6415.000064,49537.001216,55951.998976,3664,24150.99904,27814.99904,28136.999424,1428.999936,-1448.999936,189,2014-12-31,APA,1630,-138
1630,-98.99993600000006,-138,-207,-0.44623300433158875,944,0.026145339466394225,0.05286132681774123,5905.999872,42744.000128,48649.998336,5493.000192,19751.999488,25244.99968,23404.999168,650,-2118,928,2015-03-31,APA,2019.000064,282
2019.000064,618.0001280000001,282,165,0.4634920060634613,820,0.021496014770698207,0.042940848490097404,5493.000192,29819.000832,35312.001024,2383.000064,15173.999616,17556.99968,17754.999808,1132,4391.000064,-2712,2015-06-30,APA,1526,-87
1526,5.000064000000083,-87,-208,-0.08730199933052063,785,0.011643881777066756,0.025451054837585904,4079.000064,23733.00096,27811.999744,2167.000064,13672.999936,15840,11972,711,-927,-1079.000064,2015-09-30,APA,1263.000064,-340
1263.000064,-185.99987199999998,-340,-399,-0.06349200010299683,519,-0.0034762147469639456,-0.009121847130371303,3752,15090.000064,18841.99936,1840.999936,12773.000192,14614.000128,4227.999616,262,-351,-99,2015-12-31,APA,1084,-217
1084,-72.99993600000002,-217,-322,-0.8306879997253418,461,-0.009467955494524597,-0.027035171329340357,3222.000128,14456.999616,17678.999552,1598,12526.999552,14124.999552,3554.000896,239,-555,-147,2016-03-31,APA,1364.999936,-11
1364.999936,181.9998719999999,-11,-115,-0.26741400361061096,658,-0.01981293359468694,-0.052102618648908375,3292,21053.999552,24345.99936,1570,14080,15650,8696.000128,744,-411,-136,2016-06-30,APA,1438,134
1438,308.00000000000006,134,32,-0.031578999012708664,782,-0.022370047486866797,-0.07003317305785439,3272,19877.00064,23149.000704,1628,13571.999744,15199.999744,7949.000192,651,-396,-226,2016-09-30,APA,1451.000064,139
1451.000064,327.00006399999995,139,34,-0.05894700065255165,762,-0.02079253483397538,-0.0976828742624734,3240.999936,19277.999296,22518.99904,1843.000064,12997.000192,14840.000256,7679.000064,796,-298,-351,2016-12-31,APA,1536.999936,310
1536.999936,489.99993600000005,310,211,0.08157899975776672,886,-0.005063416885912485,-0.024277040029948613,3425.999872,19184.000256,22609.999872,1898,12888.999936,14786.999936,7823.000448,455,-93,-218,2017-03-31,APA,1404.999936,172
1404.999936,346.99993600000005,172,32,-0.2073490023612976,744,-0.0034932265675697793,-0.011680079819637142,4647.000064,17954.999552,22602.000384,2872.999936,11463.999488,14336.999424,8264.999808,751,-436,-169,2017-06-30,APA,1362,161
1362,330.00000000000006,161,60,0.03206299990415573,720,-0.0024897741135789537,-0.00830860534124629,3768.999936,18065.99904,21834.999808,2464.999936,10993.000448,13458.000384,8376.999808,554,-94,-185,2017-09-30,APA,1592,415
1592,589,415,318,0.3283810019493103,988,0.0041403208808303265,0.013475903865198589,3724.999936,18197.000576,21922.000896,2564,10567.000064,13131.000064,8791.000576,668,-793,-149,2017-12-31,APA,1691.000064,447
1691.000064,621.000064,447,348,0.298429012298584,1000,0.007882705264938809,0.025203427550009407,3252.999936,18538.00064,21791.000576,2342.000128,10579.999744,12921.999872,8868.99968,615,-890,-316,2018-03-31,APA,1872,578
1872,750,578,484,0.4736360013484955,1186,0.019545291157440692,0.05983905647752224,3139.000064,18771,21909.999616,2312,10602.999808,12914.999808,8994.999552,1112.999936,-1024,-194,2018-06-30,APA,1998,670
1998,829.000064,670,572,0.6100000143051147,1280,0.03001944861963722,0.08972167408844355,2784.999936,19084.999616,21870.000128,2207.000064,10716.99968,12923.999744,8945.999744,1006,-926,-459,2018-09-30,APA,1736.999936,358
1736.999936,582.9999360000002,358,265,0.369392991065979,992,0.03080176462989594,0.09212153976757186,2687.000064,18895.000192,21582.000128,2200.999936,10568.999936,12769.999872,8812.000384,1043,-1104,182,2018-12-31,APA,1699.000064,335.759488
1699.000064,522.000128,335.759488,238.759488,0.11106400191783905,1036.759488,0.027456708707532407,0.08250086369747883,2504,19246.999296,21750.99904,2374.000128,10768,13142.000128,8609.000192,598,-938,-47,2019-03-31,APA,1622,385
1622,482.99993600000005,385,287,0.4060479998588562,987,0.02615792860043073,0.08058065225143628,2791.000064,19015.00032,21806.000128,2262.000128,10869.000192,13131.00032,8675.000064,856,-894,260,2019-06-30,APA,1486,123
1486,288.00000000000006,123,28,-0.2838200032711029,887,0.01061860201129455,0.03302810214931433,1971.000064,19433.999104,21404.99968,1920.999936,11077.000192,12998.000128,8407.000704,635,-951,-70,2019-09-30,APA,1755.000064,317
1755.000064,522.0001279999999,317,212,0.6445620059967041,1092.999936,0.010884627719286387,0.04159845752179981,1960.999936,16146.000128,18107.000832,1855.000064,11232,13087.000064,5020,778,-663,-31,2019-12-31,APA,1254,33
1254,222.00000000000009,33,33,0.33312198519706726,599,0.023903022982626383,0,1908,11482.999808,13390.999552,2024.999936,11020.99968,13045.999616,344.999936,502,-509,188,2020-03-31,APA,596,-369
596,-208,-369,-338.291136,-0.5529099702835083,49,0.003160465432931781,0,1658,11340.999936,12999.000064,1710,11333.000192,13043.000192,-44.000256,84,-408,31,2020-06-30,APA,1046,119
1046,265,119,8,-0.14021199941635132,517,0.006417736385235736,0,1719.000064,11155.999744,12874.999808,1382,11530.000384,12912.000384,-36.999936,304,-359,82,2020-09-30,APA,1280.999936,196
1280.999936,492.999936,196,60,-0.015873000025749207,586,-0.0023984700704456747,0,1846,10900.000256,12746.000384,1308,11475.00032,12783.00032,-37.000064,498,-190,-208,2020-12-31,APA,2090,746
2090,1353.9999999999998,746,626,0.9197360277175903,1088,0.006184478557011833,0,2344.999936,10782.000128,13127.000064,1338,11445.000192,12783.000192,344.00064,671,-267,-128,2021-03-31,APA,1604,543
96.068,34.724,25.234,10.181,-0.18000000715255737,59.685,0,0,144.324992,2339.095064,2483.419904,174.412992,801.395008,975.808,1507.612032,70.167,-120.678,41.523,2011-03-31,AR,114.714,33.516
114.714,44.027,33.516,17.91,0.2541869878768921,73.33,0.016611355123313454,0.027846410083686674,174.123008,2569.493888,2743.617024,172.786,989.014016,1161.800016,1581.81696,41.736,-192.412,154.619008,2011-06-30,AR,132.412,43.738
132.412,52.247,43.738,23.13,0.3678329885005951,86.738,0.014399098215829988,0.025709065945404924,228.132,2982.428064,3210.56,202.36,1315.305984,1517.665984,1692.893952,86.543,-374.392,288.086016,2011-09-30,AR,161.092,50.989
161.092,65.697,50.989,27.852,1.1299999952316284,104.245,0,0,333.641984,3455.157976,3788.8,255.058,1574.936064,1829.994064,1958.806016,67.861,-213.767008,145.068992,2011-12-31,AR,92.034,48.915
92.034,59.891999999999996,48.915,24.545,0,97.443,0.011539289364259056,0.022133755264534025,274.606016,3344.187032,3618.79296,376.296,1568.760064,1945.056064,1673.73696,100.491,124.699,-222.04,2012-03-31,AR,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-06-30,AR,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-09-30,AR,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-12-31,AR,181.526,73.159
